"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","22pF","","","","PCM_4ms_Capacitor:C_0603","~"
"C3,C4,C5,C7","4","100nF","","","","PCM_4ms_Capacitor:C_0603","~"
"C6","1","10uF","","","","PCM_4ms_Capacitor:C_0805","~"
"C8","1","100uF","","","","Capacitor_SMD:CP_Elec_6.3x5.4","~"
"D1","1","LED","","","","LED_SMD:LED_0603_1608Metric","~"
"J1","1","USB_C_Receptacle_USB2.0_14P","","","","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2,J3","2","Conn_01x14_Socket","","","","Connector_PinHeader_2.54mm:PinHeader_1x14_P2.54mm_Vertical","~"
"R1,R2","2","5.1k","","","","PCM_4ms_Resistor:R_0603","~"
"R3,R4,R5","3","10k","","","","PCM_4ms_Resistor:R_0603","~"
"R6","1","1k","","","","PCM_4ms_Resistor:R_0603","~"
"R7","1","20k","","","","PCM_4ms_Resistor:R_0603","~"
"U1","1","CH340G","","","","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.datasheet5.com/pdf-local-2195953"
"U2","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U3","1","ESP32-WROOM-32E","","","","RF_Module:ESP32-WROOM-32D","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32e_esp32-wroom-32ue_datasheet_en.pdf"
"X1","1","12MHz","","","","Crystal:Crystal_SMD_HC49-SD","~"
